key,value,date
Language Learning,112,08/01/15
Language Learning,148,09/01/15
Language Learning,208,10/01/15
Language Learning,215,11/01/15
Language Learning,195,12/01/15
Language Learning,248,01/01/16
Language Learning,296,02/01/16
Language Learning,308,03/01/16
Language Learning,213,04/01/16
Language Learning,204,05/01/16
Language Learning,296,06/01/16
Language Learning,186,07/01/16
Language Learning,267,08/01/16
Language Learning,300,09/01/16
Language Learning,325,10/01/16
Language Learning,379,11/01/16
Language Learning,278,12/01/16
Language Learning,276,01/01/17
Language Learning,275,02/01/17
Language Learning,329,03/01/17
Language Learning,283,04/01/17
Language Learning,418,05/01/17
Language Learning,455,06/01/17
Language Learning,509,07/01/17
Language Learning,401,08/01/17
Language Learning,379,09/01/17
Language Learning,323,10/01/17
Language Learning,307,11/01/17
Language Learning,263,12/01/17
Language Learning,325,01/01/18
Language Learning,341,02/01/18
Language Learning,324,03/01/18
Language Learning,316,04/01/18
Language Learning,256,05/01/18
Language Learning,262,06/01/18
Language Learning,183,07/01/18
Language Learning,234,08/01/18
Language Learning,243,09/01/18
Language Learning,293,10/01/18
Language Learning,275,11/01/18
Language Learning,257,12/01/18
Language Learning,314,01/01/19
Language Learning,337,02/01/19
Language Learning,328,03/01/19
Language Learning,326,04/01/19
Language Learning,310,05/01/19
Language Learning,307,06/01/19
Language Learning,376,07/01/19
Language Learning,416,08/01/19
Language Learning,367,09/01/19
Language Learning,370,10/01/19
Language Learning,347,11/01/19
Language Learning,344,12/01/19
Language Learning,361,01/01/20
Language Learning,343,02/01/20
Language Learning,620,03/01/20
Language Learning,3015,04/01/20
Language Learning,4823,05/01/20
Language Learning,3855,06/01/20
Language Learning,3584,07/01/20
Language Learning,3350,08/01/20
Language Learning,2713,09/01/20
Language Learning,2402,10/01/20
Language Learning,1978,11/01/20
Language Learning,1501,12/01/20
Language Learning,1222,01/01/21
Language Learning,1167,02/01/21
Language Learning,1111,03/01/21
Language Learning,962,04/01/21
Language Learning,927,05/01/21
Language Learning,1409,06/01/21
Language Learning,1047,07/01/21
Language Learning,1222,08/01/21
Language Learning,1132,09/01/21
Language Learning,57,10/01/21
Personal Development,91,08/01/15
Personal Development,119,09/01/15
Personal Development,104,10/01/15
Personal Development,105,11/01/15
Personal Development,97,12/01/15
Personal Development,120,01/01/16
Personal Development,132,02/01/16
Personal Development,116,03/01/16
Personal Development,95,04/01/16
Personal Development,63,05/01/16
Personal Development,110,06/01/16
Personal Development,92,07/01/16
Personal Development,94,08/01/16
Personal Development,128,09/01/16
Personal Development,156,10/01/16
Personal Development,155,11/01/16
Personal Development,132,12/01/16
Personal Development,140,01/01/17
Personal Development,122,02/01/17
Personal Development,136,03/01/17
Personal Development,149,04/01/17
Personal Development,284,05/01/17
Personal Development,346,06/01/17
Personal Development,343,07/01/17
Personal Development,319,08/01/17
Personal Development,311,09/01/17
Personal Development,233,10/01/17
Personal Development,215,11/01/17
Personal Development,193,12/01/17
Personal Development,192,01/01/18
Personal Development,205,02/01/18
Personal Development,246,03/01/18
Personal Development,202,04/01/18
Personal Development,203,05/01/18
Personal Development,216,06/01/18
Personal Development,91,07/01/18
Personal Development,128,08/01/18
Personal Development,118,09/01/18
Personal Development,116,10/01/18
Personal Development,98,11/01/18
Personal Development,119,12/01/18
Personal Development,177,01/01/19
Personal Development,396,02/01/19
Personal Development,377,03/01/19
Personal Development,324,04/01/19
Personal Development,324,05/01/19
Personal Development,352,06/01/19
Personal Development,422,07/01/19
Personal Development,451,08/01/19
Personal Development,394,09/01/19
Personal Development,504,10/01/19
Personal Development,409,11/01/19
Personal Development,438,12/01/19
Personal Development,499,01/01/20
Personal Development,453,02/01/20
Personal Development,792,03/01/20
Personal Development,3414,04/01/20
Personal Development,5720,05/01/20
Personal Development,5556,06/01/20
Personal Development,4529,07/01/20
Personal Development,3385,08/01/20
Personal Development,2637,09/01/20
Personal Development,2214,10/01/20
Personal Development,1824,11/01/20
Personal Development,1507,12/01/20
Personal Development,1215,01/01/21
Personal Development,993,02/01/21
Personal Development,998,03/01/21
Personal Development,934,04/01/21
Personal Development,840,05/01/21
Personal Development,781,06/01/21
Personal Development,820,07/01/21
Personal Development,632,08/01/21
Personal Development,650,09/01/21
Personal Development,47,10/01/21
Health,433,08/01/15
Health,494,09/01/15
Health,520,10/01/15
Health,466,11/01/15
Health,396,12/01/15
Health,624,01/01/16
Health,615,02/01/16
Health,557,03/01/16
Health,398,04/01/16
Health,401,05/01/16
Health,508,06/01/16
Health,286,07/01/16
Health,427,08/01/16
Health,440,09/01/16
Health,619,10/01/16
Health,636,11/01/16
Health,519,12/01/16
Health,550,01/01/17
Health,519,02/01/17
Health,573,03/01/17
Health,694,04/01/17
Health,816,05/01/17
Health,934,06/01/17
Health,1088,07/01/17
Health,994,08/01/17
Health,905,09/01/17
Health,792,10/01/17
Health,701,11/01/17
Health,575,12/01/17
Health,748,01/01/18
Health,678,02/01/18
Health,782,03/01/18
Health,722,04/01/18
Health,687,05/01/18
Health,616,06/01/18
Health,441,07/01/18
Health,484,08/01/18
Health,545,09/01/18
