name,color
Probability & Statistics,#B1CBFA
Machine Learning,#FCD8D4
General Statistics,#b3e2cd
Data Analysis,#7874F2
Statistical Programming,#F4EEFF
Data Management,#d9f0d3
Computer Programming,#A6B1E1
Mathematics,#f6e8c3
Theoretical Computer Science,#93B5C6
Analysis,#C9CCD5
Python Programming,#c7e9b4
Business Analysis,#FFE3E3
Data Visualization,#3690c0
Machine Learning Algorithms,#F9CF93
Big Data,#AEE1E1
Algorithms,#fde0ef
Deep Learning,#CDF0EA
Regression,#BEAEE2
Databases,#F5C6AA
Applied Machine Learning,#F1D4D4
Modeling,#AC8DAF
