,title,institute,rate,ratingscount,level,enrollment,review_num,required_hour
41,Art and Science of Machine Learning en Español,Google Cloud,4.6,25,2,2210,10,20.0
69,Feature Engineering en Español,Google Cloud,4.5,24,2,2386,8,18.0
79,Launching into Machine Learning en Español,Google Cloud,4.7,94,2,2907,23,20.0
85,Meaningful Predictive Modeling,University of California San Diego,4.4,45,2,5120,9,9.0
90,AI Workflow: Enterprise Model Deployment,IBM,4.2,44,3,1934,9,9.0
102,Big Data: capstone project,Universitat Autònoma de Barcelona,4.7,48,3,3881,22,13.0
104,AI Workflow: AI in Production,IBM,4.5,41,3,2336,10,17.0
110,Data for Machine Learning,Alberta Machine Intelligence Institute,4.4,87,2,6200,24,12.0
115,Global Statistics - Composite Indices for International Comparisons,University of Geneva,4.6,37,2,2809,18,16.0
122,Optimizing Machine Learning Performance,Alberta Machine Intelligence Institute,4.6,38,0,5319,8,12.0
126,Advanced Linear Models for Data Science 2: Statistical Linear Models,Johns Hopkins University,4.6,70,3,19829,12,6.0
133,Design Thinking and Predictive Analytics for Data Products,University of California San Diego,4.5,61,2,7668,11,8.0
134,Practical Machine Learning on H2O,H2O,4.5,70,2,7291,17,24.0
139,Doing Clinical Research: Biostatistics with the Wolfram Language,University of Cape Town,4.7,38,1,3674,10,15.0
143,Статистические методы в гуманитарных исследованиях,National Research Tomsk State University,4.7,61,2,5506,20,20.0
145,Artificial Intelligence Privacy and Convenience,LearnQuest,4.6,37,2,1832,9,6.0
146,Statistics with R Capstone,Duke University,4.6,202,0,7354,51,6.0
149,Practical SAS Programming and Certification Review,SAS,4.9,350,2,13228,62,21.0
154,Data Science Project: MATLAB for the Real World,MathWorks,4.8,15,2,2877,8,13.0
155,Matrix Factorization and Advanced Techniques,University of Minnesota,4.3,177,0,13378,26,16.0
156,Bayesian Statistics: Mixture Models,"University of California, Santa Cruz",4.7,23,3,5117,8,22.0
157,Power and Sample Size for Multilevel and Longitudinal Study Designs,University of Florida,4.4,23,2,3588,4,24.0
161,人工智慧：機器學習與理論基礎 (Artificial Intelligence - Learning & Theory),National Taiwan University,4.6,38,2,7473,3,12.0
163,Знакомство с R и базовая статистика,Saint Petersburg State University,4.8,68,1,6249,18,20.0
165,Data Science for Business Innovation,EIT Digital ,4.3,166,1,7621,49,7.0
171,Increasing Real Estate Management Profits: Harnessing Data Analytics,Duke University,4.7,230,0,12987,51,23.0
172,"Intro to Analytic Thinking, Data Science, and Data Mining","University of California, Irvine",4.0,50,2,2803,11,7.0
173,Machine Learning Algorithms: Supervised Learning Tip to Tail,Alberta Machine Intelligence Institute,4.7,368,0,12958,61,9.0
174,Turn Ethical Frameworks into Actionable Steps,CertNexus,4.4,50,1,2698,8,15.0
176,Relational database systems,Universidad Nacional Autónoma de México,4.1,192,2,17197,49,15.0
180,Predictive Modeling and Machine Learning with MATLAB,MathWorks,4.7,78,2,10237,22,22.0
188,Business intelligence and data warehousing,Universidad Nacional Autónoma de México,3.9,87,2,9780,22,10.0
193,Clinical Data Models and Data Quality Assessments,University of Colorado System,4.2,52,2,4831,16,17.0
196,Big Data: visualización de datos,Universitat Autònoma de Barcelona,4.6,149,2,9762,60,9.0
197,Intro to TensorFlow en Español,Google Cloud,4.4,118,2,3579,28,18.0
199,How Google does Machine Learning en Español,Google Cloud,4.6,191,2,6041,64,8.0
200,Dealing With Missing Data,"University of Maryland, College Park",3.8,118,0,9965,33,18.0
201,Machine Learning: Clustering & Retrieval,University of Washington,4.6,2231,0,85636,382,17.0
203,NoSQL systems,Universidad Nacional Autónoma de México,4.2,115,2,8750,26,9.0
209,Data Analysis and Presentation Skills: the PwC Approach Final Project,PwC,4.8,224,1,3435,46,11.0
210,How Google does Machine Learning 日本語版,Google Cloud,4.5,126,2,2403,22,8.0
211,Promote the Ethical Use of Data-Driven Technologies,CertNexus,4.6,83,1,4936,16,21.0
219,Recommender Systems:  Evaluation and Metrics,University of Minnesota,4.4,216,0,11105,30,7.0
221,Google Cloud Platform Big Data and Machine Learning Fundamentals em Português Brasileiro,Google Cloud,4.8,65,2,1660,12,12.0
224,Artificial Intelligence Algorithms Models and Limitations,LearnQuest,4.7,101,1,4523,25,8.0
226,Factorial and Fractional Factorial Designs,Arizona State University,4.7,40,2,2848,9,12.0
228,"Response Surfaces, Mixtures, and Model Building",Arizona State University,4.7,45,2,2167,12,13.0
230,"Random Models, Nested and Split-plot Designs",Arizona State University,4.6,27,2,1840,5,9.0
235,Google Cloud Big Data and Machine Learning Fundamentals en Français,Google Cloud,4.3,25,2,1792,4,13.0
238,Building Data Visualization Tools,Johns Hopkins University,3.9,151,2,11270,40,13.0
239,Анализ данных: финальный проект,Moscow Institute of Physics and Technology,4.7,323,3,3741,64,44.0
244,Introduction to Recommender Systems:  Non-Personalized and Content-Based,University of Minnesota,4.5,592,2,30796,124,23.0
245,Introduction to Applied Machine Learning,Alberta Machine Intelligence Institute,4.7,614,2,19060,147,7.0
247,Communicating Business Analytics Results,University of Colorado Boulder,4.5,416,0,20333,86,7.0
248,Business Analytics for Decision Making,University of Colorado Boulder,4.6,1621,0,72526,418,9.0
249,Geospatial Analysis Project,"University of California, Davis",4.8,229,0,8360,69,62.0
250,Nearest Neighbor Collaborative Filtering,University of Minnesota,4.3,292,0,12464,66,15.0
255,Business Statistics and Analysis Capstone,Rice University,4.7,370,0,14205,70,7.0
258,Computational Social Science Capstone Project,"University of California, Davis",4.6,23,2,1953,8,14.0
260,Image Understanding with TensorFlow on GCP,Google Cloud,4.6,499,3,13203,58,12.0
261,Big Data: procesamiento y análisis,Universitat Autònoma de Barcelona,4.2,228,2,12287,89,13.0
262,Bayesian Methods for Machine Learning,HSE University,4.5,676,3,67795,197,33.0
263,AI Workflow: Feature Engineering and Bias Detection,IBM,4.5,60,3,2578,7,12.0
270,Data Processing and Feature Engineering with MATLAB,MathWorks,4.7,294,2,11455,103,18.0
276,Spatial Data Science and Applications,Yonsei University,4.4,407,2,17976,135,12.0
278,Practical Reinforcement Learning,HSE University,4.2,437,3,43434,116,26.0
279,Google Cloud Big Data and Machine Learning Fundamentals en Español,Google Cloud,4.7,616,2,17619,198,13.0
281,"AI Workflow: Machine Learning, Visual Recognition and NLP",IBM,4.5,60,3,2777,9,14.0
282,AI Workflow: Business Priorities and Data Ingestion,IBM,4.3,139,2,4290,33,8.0
283,Методология научных исследований и котики,National Research Tomsk State University,4.7,51,1,6261,14,14.0
284,Publishing Visualizations in R with Shiny and flexdashboard,Johns Hopkins University,4.9,22,0,1725,7,12.0
285,Advanced Data Visualization with R,Johns Hopkins University,4.8,31,0,1869,11,11.0
288,Estatística não-paramétrica para a tomada de decisão,Universidade de São Paulo,4.4,108,2,9098,31,13.0
289,Introdução ao Big Data,Fundação Instituto de Administração,4.6,306,1,14669,91,16.0
290,Improving Your Statistical Questions,Eindhoven University of Technology,4.9,89,2,5515,19,18.0
294,Machine Learning: Classification,University of Washington,4.7,3596,0,110915,597,21.0
302,Functional Programming in Scala Capstone,École Polytechnique Fédérale de Lausanne,4.4,530,0,12142,91,27.0
304,Linear Regression for Business Statistics,Rice University,4.8,1214,0,34299,200,28.0
